Value,year,parent
Croatia,"[2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009]",country
France,"[2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012]",country
Germany (BRS),[2018],country
"Latvia, LVA","[2021, 2020, 2019, 2018, 2017, 2016, 2015]",country
Portugal (Min. Agric.),"[2018, 2017, 2011]",country
Serbia,"[2020, 2019, 2018, 2017, 2016, 2015, 2014]",country
Slovenia,"[2021, 2020, 2019, 2018]",country
Spain,"[2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2011, 2010, 2009, 2008]",country
Switzerland,"[2015, 2014]",country
Ukraine,[2022],country
