Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1961,1961,ha,3200,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, in shell",1961,1961,100 g/ha,28125,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5510,Production,221,"Almonds, in shell",1961,1961,t,9000,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1962,1962,ha,3400,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, in shell",1962,1962,100 g/ha,27941,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5510,Production,221,"Almonds, in shell",1962,1962,t,9500,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1963,1963,ha,3600,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, in shell",1963,1963,100 g/ha,27778,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5510,Production,221,"Almonds, in shell",1963,1963,t,10000,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1964,1964,ha,3800,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, in shell",1964,1964,100 g/ha,27632,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5510,Production,221,"Almonds, in shell",1964,1964,t,10500,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1965,1965,ha,4000,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, in shell",1965,1965,100 g/ha,27500,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5510,Production,221,"Almonds, in shell",1965,1965,t,11000,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1966,1966,ha,4100,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, in shell",1966,1966,100 g/ha,28049,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5510,Production,221,"Almonds, in shell",1966,1966,t,11500,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1967,1967,ha,4200,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, in shell",1967,1967,100 g/ha,28571,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5510,Production,221,"Almonds, in shell",1967,1967,t,12000,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1968,1968,ha,4400,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, in shell",1968,1968,100 g/ha,28409,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5510,Production,221,"Almonds, in shell",1968,1968,t,12500,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1969,1969,ha,4600,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, in shell",1969,1969,100 g/ha,28261,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5510,Production,221,"Almonds, in shell",1969,1969,t,13000,E,Estimated value,
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, in shell",1970,1970,ha,4800,E,Estimated value,
