"","LastModified","title","id"
"1",2024-10-09 11:00:00,"Number of Livestock in June","AAA09"
"2",2020-06-01 11:00:00,"Number of Livestock in June (1991 - 2004)","AAA01"
"3",2020-10-22 11:00:00,"Livestock","FSA14"
"4",2020-12-17 11:00:00,"Number of Livestock in June","AAA07"
"5",2020-05-20 11:00:00,"Number of Livestock in June (1980 to 1999)","AAA03"
"6",2020-05-20 11:00:00,"Number of Livestock (CoA 1926-1980)","ACEN1"
"7",2020-05-26 11:00:00,"Number of Livestock","AVA11"
"8",2020-05-26 11:00:00,"Number of Livestock","AVA12"
"9",2024-10-09 11:00:00,"Number of Cattle in June","AAA10"
"10",2020-12-17 11:00:00,"Number of Cattle in June","AAA08"
"11",2024-03-27 11:00:00,"Number of Cattle in June","AAA11"
"12",2024-10-09 11:00:00,"Pig Population in June and December","AAA05"
"13",2020-05-20 11:00:00,"Pig Population (1975 to 1997)","AAA04"
"14",2020-05-20 11:00:00,"Farm Animals in December","AAA02"
"15",2024-07-08 11:00:00,"Farm Animals in December","AAA06"
