year,population,country,species,flag
2005,12155846,Afghanistan,Birds,woah001
2005,175270,Afghanistan,Camelidae,woah001
2005,3715409,Afghanistan,Cattle,woah001
2005,1729680,Afghanistan,Equidae,woah001
2005,16053217,Afghanistan,Sheep / goats,woah001
2005,0,Angola,Bees,woah001
2005,0,Angola,Birds,woah001
2005,0,Angola,Buffaloes,woah001
2005,0,Angola,Camelidae,woah001
2005,0,Angola,Cats,woah001
2005,0,Angola,Cattle,woah001
2005,0,Angola,Cervidae,woah001
2005,0,Angola,Dogs,woah001
2005,0,Angola,Equidae,woah001
2005,0,Angola,Goats,woah001
2005,0,Angola,Sheep / goats,woah001
2005,0,Angola,Sheep,woah001
2005,0,Angola,Swine,woah001
2005,157500,Albania,Bees,woah001
2005,6431700,Albania,Birds,woah001
2005,655000,Albania,Cattle,woah001
2005,148600,Albania,Equidae,woah001
2005,926000,Albania,Goats,woah001
2005,0,Albania,Sheep / goats,woah001
2005,1580000,Albania,Sheep,woah001
2005,147000,Albania,Swine,woah001
2005,180,Andorra,Bees,woah001
2005,4510,Andorra,Birds,woah001
2005,0,Andorra,Buffaloes,woah001
2005,0,Andorra,Camelidae,woah001
2005,1397,Andorra,Cattle,woah001
2005,0,Andorra,Cervidae,woah001
2005,864,Andorra,Equidae,woah001
2005,507,Andorra,Goats,woah001
2005,1100,Andorra,Hares / rabbits,woah001
2005,0,Andorra,Sheep / goats,woah001
2005,2525,Andorra,Sheep,woah001
2005,74,Andorra,Swine,woah001
2005,1955480,Argentina,Bees,woah001
2005,432385000,Argentina,Birds,woah001
2005,24000,Argentina,Buffaloes,woah001
2005,53336952,Argentina,Cattle,woah001
2005,25000,Argentina,Cervidae,woah001
2005,0,Argentina,Dogs,woah001
2005,1582637,Argentina,Equidae,woah001
2005,2160160,Argentina,Goats,woah001
2005,432387005,Argentina,Sheep / goats,woah001
2005,14470988,Argentina,Sheep,woah001
2005,2800281,Argentina,Swine,woah001
2005,0,Armenia,Bees,woah001
2005,0,Armenia,Camelidae,woah001
2005,0,Australia,Bees,woah001
2005,83400000,Australia,Birds,woah001
2005,20000,Australia,Buffaloes,woah001
2005,150000,Australia,Camelidae,woah001
2005,27465000,Australia,Cattle,woah001
2005,150000,Australia,Cervidae,woah001
2005,0,Australia,Equidae,woah001
2005,50000,Australia,Hares / rabbits,woah001
2005,101287000,Australia,Sheep,woah001
2005,2548000,Australia,Swine,woah001
2005,12354358,Austria,Birds,woah001
2005,0,Austria,Buffaloes,woah001
2005,0,Austria,Camelidae,woah001
2005,2010680,Austria,Cattle,woah001
2005,87072,Austria,Equidae,woah001
2005,55100,Austria,Goats,woah001
2005,380828,Austria,Sheep / goats,woah001
2005,325728,Austria,Sheep,woah001
2005,3169541,Austria,Swine,woah001
2005,95715,Azerbaijan,Bees,woah001
2005,18253348,Azerbaijan,Birds,woah001
2005,308551,Azerbaijan,Buffaloes,woah001
2005,201,Azerbaijan,Camelidae,woah001
2005,2315800,Azerbaijan,Cattle,woah001
2005,70994,Azerbaijan,Equidae,woah001
2005,601387,Azerbaijan,Goats,woah001
2005,7488831,Azerbaijan,Sheep / goats,woah001
2005,6887444,Azerbaijan,Sheep,woah001
2005,22932,Azerbaijan,Swine,woah001
2005,100000,Belgium,Bees,woah001
2005,34290600,Belgium,Birds,woah001
2005,2698649,Belgium,Cattle,woah001
2005,3679,Belgium,Cervidae,woah001
2005,33404,Belgium,Equidae,woah001
2005,26209,Belgium,Goats,woah001
2005,209027,Belgium,Hares / rabbits,woah001
2005,152384,Belgium,Sheep,woah001
2005,6318213,Belgium,Swine,woah001
2005,13600000,Benin,Birds,woah001
2005,230,Benin,Buffaloes,woah001
